,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
1934, Eisenberg – Neuenstein ,Germany,Hesse (Hessen),2,523 m,621 m,0.6 km,0.5 km,0 km,2 ski lifts,"€ 13,-"
1935, Zvičina ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2,500 m,710 m,1.5 km,0.7 km,0 km,3 ski lifts,
1936, Meix-Musy – Pierre à Feu (Val de Morteau) ,France,Bourgogne-Franche-Comté,2,959 m,1276 m,1.5 km,0.5 km,0 km,4 ski lifts,
1937, HEIpark Tošovice ,Czech Republic,Moravian-Silesian Region (Moravskoslezský kraj),2,380 m,460 m,1.1 km,0.4 km,0 km,6 ski lifts,
1938, Klínek – Předklášteří ,Czech Republic,South Moravian Region (Jihomoravský kraj),2,299 m,396 m,1.2 km,0.5 km,0 km,2 ski lifts,
1939, Lausche – Waltersdorf ,Germany,Saxony (Sachsen),2,515 m,630 m,1.4 km,1.5 km,0 km,3 ski lifts,
1940, Schorrberg – Bad Marienberg ,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),2,450 m,500 m,0.6 km,0.5 km,0 km,2 ski lifts,
1941, Oaza – Strzyzów ,Poland,Subcarpathian Voivodeship (Województwo podkarpackie),2,245 m,351 m,0.8 km,0.5 km,0 km,5 ski lifts,
1942, Zebra – Białka Tatrzańska ,Poland,Lesser Poland (Województwo małopolskie),2,750 m,862 m,0.8 km,0.2 km,0 km,2 ski lifts,
1943, Kongstind – Svolvær ,Norway,Nordland,2,22 m,257 m,0.1 km,1 km,0 km,2 ski lifts,
1944,,Germany,Bavaria (Bayern),2,740 m,897 m,0.6 km,0.8 km,0 km,2 ski lifts,
1945, Rąblów ,Poland,Lublin (Województwo lubelskie),2,155 m,210 m,0.5 km,0.7 km,0 km,5 ski lifts,
1946, Krähenberg – Sibratsgfäll ,Austria,Vorarlberg,2,900 m,1100 m,1 km,1 km,0 km,2 ski lifts,
1947, Batorz ,Poland,Lublin (Województwo lubelskie),2,240 m,290 m,0.5 km,0.5 km,0 km,3 ski lifts,
1948, Podstolice ,Poland,Lesser Poland (Województwo małopolskie),2,288 m,353 m,0.9 km,0.4 km,0 km,3 ski lifts,
1949, Mont Gibloux ,Switzerland,Espace Mittelland,2,965 m,1152 m,1 km,0.4 km,0 km,2 ski lifts,"SFr. 18,- / approx. € 17,-"
1950, Goč – Banjskoj strani ,Serbia,Serbia-South,2,999 m,1112 m,0.5 km,0.5 km,0 km,2 ski lifts,"RSD 600,- / approx. € 5,-"
1951, Schloppach bei Waldsassen ,Germany,Bavaria (Bayern),2,450 m,510 m,1 km,1 km,0 km,2 ski lifts,"€ 14,-"
1952, Horní Podluží ,Czech Republic,Ústí nad Labem Region (Ústecký kraj),2,452 m,568 m,1.3 km,0.6 km,0 km,4 ski lifts,"CZK 440,- / approx. € 16,-"
1953, U Bambuchu ,Czech Republic,Zlín Region (Zlínský kraj),2,530 m,697 m,1 km,0.5 km,0 km,3 ski lifts,"CZK 380,- / approx. € 14,-"
1954, Sonnenhanglifte – Unterjoch ,Germany,Bavaria (Bayern),2,1052 m,1167 m,1.4 km,0.6 km,0 km,2 ski lifts,"€ 15,-"
1955, Val Pelens ,France,Provence-Alpes-Côte d’Azur,2,1600 m,1737 m,4 km,0 km,0 km,2 ski lifts,"€ 15,-"
1956, Val d'Arc – Bessans ,France,Auvergne-Rhône-Alpes,2,1706 m,1842 m,3 km,0 km,0 km,3 ski lifts,€ 10.50
1957, Oberwaldlifte – Faistenau ,Austria,Salzburg (Salzburger Land),2,802 m,917 m,0.8 km,0.3 km,0 km,2 ski lifts,"€ 12,-"
1958, Mogno ,Switzerland,Ticino,2,1150 m,1275 m,1.2 km,0.3 km,0 km,2 ski lifts,"SFr. 16,- / approx. € 15,-"
1959, Mutten ,Switzerland,Eastern Switzerland,2,1724 m,1863 m,3 km,0 km,0 km,1 ski lift,"SFr. 22,- / approx. € 21,-"
1960, La Poya – Vallorcine ,France,Auvergne-Rhône-Alpes,2,1350 m,1550 m,1 km,1 km,0 km,4 ski lifts,"€ 17,-"
1961, Loisinord – Noeux-Les-Mines (dry slopes) ,France,None,2,44 m,114 m,0.3 km,0.1 km,0.1 km,1 ski lift,"€ 22,-"
1962, Homberg ,Switzerland,Espace Mittelland,2,940 m,1093 m,3 km,0 km,0 km,1 ski lift,"SFr. 20,- / approx. € 19,-"
1963, Dolní Dvůr ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2,610 m,760 m,0.6 km,0.9 km,0 km,5 ski lifts,"CZK 430,- / approx. € 16,-"
1964, Ostalb – Aalen ,Germany,Baden-Württemberg,2,510 m,680 m,1.2 km,0.8 km,0 km,2 ski lifts,"€ 20,-"
1965, Luhy – Trnava ,Czech Republic,Zlín Region (Zlínský kraj),2,422 m,502 m,0.2 km,0.9 km,0 km,4 ski lifts,"CZK 370,- / approx. € 14,-"
1966, Potštát ,Czech Republic,Olomouc Region (Olomoucký kraj),2,453 m,536 m,0.3 km,1.4 km,0 km,3 ski lifts,"CZK 300,- / approx. € 11,-"
1967, Polevsko ,Czech Republic,Liberec Region (Liberecký kraj),2,520 m,604 m,0.6 km,0.4 km,0 km,2 ski lifts,"CZK 450,- / approx. € 16,-"
1968, Am Ried – Farchant ,Germany,Bavaria (Bayern),2,670 m,772 m,0.6 km,0 km,0 km,1 ski lift,"€ 12,-"
1969, Yakhroma Park ,Central Russia,Moscow,2,140 m,186 m,1.4 km,0.4 km,0 km,5 ski lifts,"RUB 2000,- / approx. € 21,-"
1970, Münster-Geschinen ,Switzerland,Lemanic Region,2,1363 m,1645 m,3 km,0 km,0 km,2 ski lifts,"SFr. 25,- / approx. € 23,-"
1971, Dent de Jaman – Montreux ,Switzerland,Lemanic Region,2,1354 m,1738 m,0 km,3 km,0 km,1 ski lift,"SFr. 35,- / approx. € 33,-"
1972, Schwalefeld ,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),2,540 m,600 m,1.3 km,0.7 km,0 km,2 ski lifts,"€ 31,-"
1973, Viehberg – Sandl ,Austria,Upper Austria (Oberösterreich),2,950 m,1112 m,3 km,0 km,0 km,2 ski lifts,€ 20.50
1974, Kegelberg – Erlbach ,Germany,Saxony (Sachsen),2,570 m,755 m,1.5 km,1.4 km,0 km,3 ski lifts,"€ 17,-"
1975, La Chia – Bulle ,Switzerland,Espace Mittelland,2,998 m,1309 m,3 km,0 km,0 km,1 ski lift,"SFr. 20,- / approx. € 19,-"
1976, Zlatá Olešnice ,Czech Republic,Liberec Region (Liberecký kraj),2,520 m,650 m,0.8 km,1 km,0 km,2 ski lifts,"CZK 320,- / approx. € 12,-"
1977, Budor ,Norway,Hedmark,2,620 m,730 m,3 km,0 km,0 km,2 ski lifts,"NOK 300,- / approx. € 27,-"
1978, Riedlberg – Drachselsried ,Germany,Bavaria (Bayern),2,715 m,850 m,0.9 km,0.5 km,0 km,2 ski lifts,"€ 22,-"
1979, Kokuszka ,Poland,Lesser Poland (Województwo małopolskie),2,410 m,550 m,0.5 km,0.6 km,0 km,2 ski lifts,"PLN 70,- / approx. € 15,-"
1980, Oberegg – Skilift St. Anton ,Switzerland,Eastern Switzerland,2,855 m,1110 m,3.5 km,0 km,0 km,1 ski lift,"SFr. 28,- / approx. € 26,-"
1981, Nový Hrádek ,Czech Republic,Hradec Králové Region (Královéhradecký kraj),2,500 m,576 m,0.3 km,0.3 km,0.5 km,1 ski lift,"CZK 120,- / approx. € 4,-"
1982, Gråkallen (Kleiva) ,Norway,Sør-Trøndelag,2,384 m,543 m,0 km,4 km,0 km,2 ski lifts,"NOK 200,- / approx. € 18,-"
1983, Wissen ,Germany,Rhineland-Palatinate (Rheinland-Pfalz),2,210 m,267 m,0.7 km,0.3 km,0 km,1 ski lift,"€ 14,-"
1984, Stokinger – Freudenstadt-Lauterbad ,Germany,Baden-Württemberg,2,660 m,791 m,0.2 km,0.9 km,0 km,2 ski lifts,"€ 17,-"
1985, Langenbruck – Untere/​Obere Wanne ,Switzerland,Northwestern Switzerland,2,720 m,940 m,3 km,0 km,0 km,2 ski lifts,"SFr. 30,- / approx. € 28,-"
1986, Ekesberget ,Sweden,Central Sweden,2,200 m,310 m,1 km,0.5 km,0.5 km,2 ski lifts,"Skr 180,- / approx. € 17,-"
1987, U Čápa – Kořenov-Příchovice ,Czech Republic,Liberec Region (Liberecký kraj),2,700 m,801 m,3.6 km,0 km,0 km,3 ski lifts,"CZK 370,- / approx. € 14,-"
1988, Gullingen ,Norway,Western Norway (Vestlandet),2,644 m,781 m,1.4 km,0.8 km,0 km,2 ski lifts,"NOK 320,- / approx. € 29,-"
1989, Senožeta ,Slovenia,Gorenjska (Upper Carniola),2,570 m,690 m,0.6 km,0.6 km,0 km,2 ski lifts,
1990, Pridolci ,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,2,1166 m,1300 m,0.1 km,1 km,0 km,2 ski lifts,
1991, Yaremche ,Ukraine,None,2,700 m,1150 m,1.5 km,1.5 km,0 km,1 ski lift,
1992, Mødalstrekket ,Norway,Western Norway (Vestlandet),2,360 m,550 m,3 km,0 km,0 km,1 ski lift,
1993, La Côte-aux-Fées ,Switzerland,Espace Mittelland,2,980 m,1080 m,3 km,0 km,0 km,1 ski lift,
1994, Synyak (Синяк) ,Ukraine,Zakarpattia,2,433 m,655 m,0.3 km,1.6 km,0 km,2 ski lifts,
1995, Bojanine Vode – Niš (Suva Planina) ,Serbia,Serbia-South,2,811 m,1180 m,0.8 km,0 km,1 km,3 ski lifts,
1996, Stepanovo ,Central Russia,Moscow,2,190 m,230 m,0.4 km,3.6 km,0 km,3 ski lifts,
1997, Nekrasovo ,Central Russia,None,2,185 m,220 m,2.1 km,0.7 km,0 km,4 ski lifts,
1998, Bergwiese – Schwarzenbach am Wald ,Germany,Bavaria (Bayern),2,600 m,680 m,0.8 km,0.2 km,0 km,2 ski lifts,
1999, Pod Soláněm ,Czech Republic,Zlín Region (Zlínský kraj),2,550 m,700 m,0.4 km,0.3 km,0.3 km,1 ski lift,
2000, Pfulb – Schopfloch (Lenningen) ,Germany,Baden-Württemberg,2,720 m,770 m,0.5 km,0.4 km,0.1 km,3 ski lifts,
2001, Čarták – Soláň-Sedlo ,Czech Republic,Zlín Region (Zlínský kraj),2,680 m,861 m,2 km,1.2 km,0 km,5 ski lifts,
2002, Punto de Nieve Santa Inés ,Spain,Castile-Leon (Castilla y León),2,1753 m,1832 m,1 km,0.8 km,0 km,2 ski lifts,
2003, Carlisle Ski Club – Yad Moss ,United Kingdom,England,2,600 m,720 m,0 km,4 km,0 km,1 ski lift,
2004, Vitsi ,Greece,Western Macedonia,2,1610 m,1880 m,1.6 km,1 km,0 km,3 ski lifts,
2005, Passo San Leonardo ,Italy,Abruzzo,2,1231 m,1390 m,4.1 km,0 km,0 km,2 ski lifts,
2006, Wujskie ,Poland,Subcarpathian Voivodeship (Województwo podkarpackie),2,417 m,499 m,2.1 km,0.5 km,0 km,2 ski lifts,
2007, Lailias Ski Area – Serres ,Greece,Central Macedonia,2,1600 m,1847 m,1 km,0.5 km,0 km,3 ski lifts,
2008, Palot (Pisogne) ,Italy,Lombardy,2,1060 m,1350 m,3 km,0 km,0 km,2 ski lifts,"€ 26,-"
2009, Kessellifts – Inzell ,Germany,Bavaria (Bayern),2,700 m,810 m,1.2 km,1 km,0 km,3 ski lifts,"€ 13,-"
2010, Genkingen (Sonnenbühl) ,Germany,Baden-Württemberg,2,745 m,835 m,1 km,0.3 km,0 km,3 ski lifts,"€ 15,-"
2011, Ghöch ,Switzerland,Zürich,2,1000 m,1060 m,0.8 km,0.2 km,0 km,2 ski lifts,"SFr. 20,- / approx. € 19,-"
2012, Nagelköpfl – Piesendorf ,Austria,Salzburg (Salzburger Land),2,785 m,900 m,0.5 km,1.5 km,0 km,3 ski lifts,€ 19.20
2013, Brotjacklriegel – Langfurth ,Germany,Bavaria (Bayern),2,790 m,954 m,1.2 km,1 km,0 km,5 ski lifts,"€ 17,-"
2014, Vihti Ski Center ,Finland,Southern Finland (Etelä-Suomi),2,35 m,110 m,3 km,0 km,0 km,8 ski lifts,"€ 34,-"
2015, Les Verrières ,Switzerland,Espace Mittelland,2,920 m,1010 m,1.6 km,0.2 km,0 km,2 ski lifts,"SFr. 10,- / approx. € 9,-"
2016, Knittellifte – Elbigenalp ,Austria,Tyrol (Tirol),2,1040 m,1140 m,1.5 km,0.5 km,0 km,3 ski lifts,"€ 20,-"
2017, Am Gründelwald – Jöhstadt ,Germany,Saxony (Sachsen),2,677 m,777 m,0.9 km,0.6 km,0 km,2 ski lifts,"€ 15,-"
