,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
0, Ischgl/​Samnaun – Silvretta Arena ,Austria,Tyrol (Tirol),4.8,1360 m,2872 m,47 km,143 km,49 km,41 ski lifts,€ 53.50
1, Carezza Ski ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1182 m,2337 m,19 km,16.2 km,4.8 km,12 ski lifts,€ 49.50
2, Silvretta Montafon ,Austria,Vorarlberg,4.5,700 m,2430 m,60 km,50 km,8 km,34 ski lifts,"€ 57,-"
3, Obertauern ,Austria,Salzburg (Salzburger Land),4.5,1630 m,2313 m,61 km,35 km,4 km,26 ski lifts,"€ 49,-"
4, Wildkogel – Neukirchen/​Bramberg ,Austria,Salzburg (Salzburger Land),4.3,820 m,2150 m,35 km,30 km,10 km,19 ski lifts,€ 50.50
5, Ski Juwel Alpbachtal Wildschönau ,Austria,Tyrol (Tirol),4.2,830 m,2025 m,25.9 km,53.7 km,13.5 km,43 ski lifts,"€ 51,-"
6, St. Jakob im Defereggental – Brunnalm ,Austria,Tyrol (Tirol),3.8,1400 m,2525 m,4.7 km,11.1 km,1.2 km,7 ski lifts,"€ 50,-"
7, Belpiano (Schöneben)/​Malga San Valentino (Haideralm) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1460 m,2390 m,29 km,30 km,6 km,10 ski lifts,€ 46.50
8, Lermoos – Grubigstein ,Austria,Tyrol (Tirol),4,1004 m,2100 m,12.8 km,12.6 km,1.9 km,8 ski lifts,€ 49.50
9, Val Gardena (Gröden) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.7,1236 m,2518 m,52 km,105 km,18 km,79 ski lifts,"€ 59,-"
10, Spieljoch – Fügen ,Austria,Tyrol (Tirol),3.7,650 m,2054 m,3.6 km,10.8 km,2.7 km,7 ski lifts,"€ 59,-"
11, Kitzbühel/​Kirchberg – KitzSki ,Austria,Tyrol (Tirol),4.9,800 m,2000 m,94 km,67 km,20 km,49 ski lifts,€ 59.50
12, Großglockner Resort Kals-Matrei ,Austria,Tyrol (Tirol),4.2,1020 m,2422 m,9.5 km,24.5 km,10.6 km,14 ski lifts,"€ 50,-"
13, Kaltenbach – Hochzillertal/​Hochfügen (SKi-optimal) ,Austria,Tyrol (Tirol),4.7,600 m,2378 m,29.7 km,41.3 km,14.6 km,36 ski lifts,"€ 59,-"
14, Tauplitz – Bad Mitterndorf ,Austria,Styria (Steiermark),4,896 m,1965 m,18 km,19 km,6 km,16 ski lifts,"€ 44,-"
15, Arber ,Germany,Bavaria (Bayern),3.6,1050 m,1456 m,4.5 km,4 km,3 km,6 ski lifts,"€ 35,-"
16, Biberwier – Marienberg ,Austria,Tyrol (Tirol),3.4,1000 m,1820 m,7.3 km,3.7 km,0 km,5 ski lifts,€ 49.50
17, Gitschberg Jochtal ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1307 m,2510 m,18.5 km,27.2 km,9.3 km,15 ski lifts,"€ 52,-"
18, Arosa Lenzerheide ,Switzerland,Eastern Switzerland,4.6,1229 m,2865 m,110 km,87 km,28 km,43 ski lifts,"SFr. 84,- / approx. € 79,-"
19, Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus) ,Austria,Salzburg (Salzburger Land),4.7,830 m,2096 m,140 km,112 km,18 km,70 ski lifts,€ 58.50
20, SkiWelt Wilder Kaiser-Brixental ,Austria,Tyrol (Tirol),4.8,620 m,1957 m,126 km,127 km,35 km,89 ski lifts,€ 55.50
21, Sillian – Thurntaler (Hochpustertal) ,Austria,Tyrol (Tirol),3.8,1100 m,2407 m,5.6 km,15 km,1.1 km,7 ski lifts,"€ 50,-"
22, Damüls Mellau ,Austria,Vorarlberg,4.2,710 m,2050 m,29.7 km,48 km,1.7 km,19 ski lifts,"€ 54,-"
23, Steinplatte/​Winklmoosalm – Waidring/​Reit im Winkl ,Austria,Tyrol (Tirol),4.1,740 m,1860 m,18 km,22 km,2 km,14 ski lifts,"€ 49,-"
24, Latemar – Obereggen/​Pampeago/​Predazzo ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.3,1540 m,2388 m,9.3 km,32.8 km,6.9 km,18 ski lifts,"€ 51,-"
25, St. Johann in Tirol/​Oberndorf – Harschbichl ,Austria,Tyrol (Tirol),4,659 m,1604 m,15.5 km,23 km,3.5 km,16 ski lifts,"€ 48,-"
26, Racines-Giovo (Ratschings-Jaufen)/​Malga Calice (Kalcheralm) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1300 m,2100 m,4 km,21 km,0 km,8 ski lifts,"€ 50,-"
27, Lauchernalp – Lötschental ,Switzerland,Lemanic Region,3.8,1419 m,3111 m,20 km,17 km,18 km,6 ski lifts,"SFr. 57,- / approx. € 53,-"
28, Pizol – Bad Ragaz/​Wangs ,Switzerland,Eastern Switzerland,3.8,509 m,2227 m,14.6 km,13.9 km,5.4 km,10 ski lifts,"SFr. 60,- / approx. € 56,-"
29, Sonnenkopf – Klösterle ,Austria,Vorarlberg,3.5,1000 m,2300 m,12.8 km,15.9 km,0.8 km,9 ski lifts,"€ 45,-"
30, Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml ,Austria,Tyrol (Tirol),4.7,580 m,2500 m,49 km,87 km,11 km,52 ski lifts,€ 57.50
31, Hohsaas – Saas-Grund ,Switzerland,Lemanic Region,3.8,1559 m,3142 m,12 km,21.3 km,1.2 km,6 ski lifts,"SFr. 56,- / approx. € 52,-"
32, Ehrwalder Wettersteinbahnen – Ehrwald ,Austria,Tyrol (Tirol),3.4,1000 m,1530 m,15 km,5 km,3 km,4 ski lifts,"€ 48,-"
33, Ramsau am Dachstein – Rittisberg ,Austria,Styria (Steiermark),3.3,1035 m,1636 m,14 km,10 km,1 km,9 ski lifts,€ 39.50
34, Mönichkirchen/​Mariensee ,Austria,Lower Austria (Niederösterreich),3,870 m,1432 m,5.5 km,6 km,2 km,6 ski lifts,€ 38.50
35, San Martino di Castrozza ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1404 m,2357 m,16 km,32 km,12 km,21 ski lifts,"€ 49,-"
36, Almenwelt Lofer ,Austria,Salzburg (Salzburger Land),4,640 m,1670 m,32 km,12 km,2 km,10 ski lifts,"€ 46,-"
37, Ofterschwang/​Gunzesried – Ofterschwanger Horn ,Germany,Bavaria (Bayern),3.6,880 m,1405 m,3.7 km,9.8 km,2.5 km,7 ski lifts,"€ 43,-"
38, Klausberg – Steinhaus (Cadipietra) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.1,1050 m,2510 m,14 km,14 km,5 km,8 ski lifts,€ 49.50
39, Lachtal ,Austria,Styria (Steiermark),3.7,1600 m,2222 m,7 km,16 km,3 km,9 ski lifts,"€ 45,-"
40, Schlick 2000 – Fulpmes ,Austria,Tyrol (Tirol),3.6,1009 m,2240 m,12 km,6.8 km,3.2 km,9 ski lifts,"€ 42,-"
41, Filzmoos ,Austria,Salzburg (Salzburger Land),2.9,970 m,1591 m,9 km,10 km,1 km,8 ski lifts,"€ 49,-"
42, Kitzsteinhorn/​Maiskogel – Kaprun ,Austria,Salzburg (Salzburger Land),4.4,768 m,3029 m,29 km,23 km,9 km,21 ski lifts,€ 58.50
43, Flumserberg ,Switzerland,Eastern Switzerland,4,665 m,2222 m,10 km,38 km,17 km,17 ski lifts,"SFr. 63,- / approx. € 59,-"
44, Grebenzen – St. Lambrecht ,Austria,Styria (Steiermark),2.9,1010 m,1870 m,2.9 km,9 km,0.3 km,6 ski lifts,"€ 38,-"
45, Turracher Höhe ,Austria,Carinthia (Kärnten),4.3,1400 m,2205 m,14 km,24.5 km,3.5 km,14 ski lifts,€ 48.50
46, Kreischberg ,Austria,Styria (Steiermark),3.9,868 m,2118 m,17 km,16 km,9 km,13 ski lifts,"€ 48,-"
47, Fichtelberg – Oberwiesenthal ,Germany,Saxony (Sachsen),3.3,911 m,1215 m,6.8 km,6.1 km,2.6 km,6 ski lifts,"€ 32,-"
48, Elm im Sernftal ,Switzerland,Eastern Switzerland,3.7,1020 m,2105 m,15 km,20 km,5 km,5 ski lifts,"SFr. 49,- / approx. € 46,-"
49, Speikboden – Sand in Taufers (Campo Tures) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,950 m,2400 m,22 km,13 km,6 km,8 ski lifts,€ 49.50
50, St. Anton/​St. Christoph/​Stuben/​Lech/​Zürs/​Warth/​Schröcken – Ski Arlberg ,Austria,Tyrol (Tirol),4.8,1300 m,2811 m,130 km,122 km,51 km,88 ski lifts,"€ 59,-"
51, Serfaus-Fiss-Ladis ,Austria,Tyrol (Tirol),4.8,1200 m,2820 m,47 km,123 km,28 km,39 ski lifts,"€ 56,-"
52, Sölden ,Austria,Tyrol (Tirol),4.7,1350 m,3340 m,69.5 km,46.6 km,27.3 km,31 ski lifts,"€ 62,-"
53, Schladming – Planai/​​Hochwurzen/​​Hauser Kaibling/​​Reiteralm (4-Berge-Skischaukel) ,Austria,Styria (Steiermark),4.7,728 m,2015 m,46.4 km,68.3 km,8.3 km,44 ski lifts,"€ 58,-"
54, Tignes/​Val d'Isère ,France,Auvergne-Rhône-Alpes,4.6,1550 m,3456 m,170 km,78 km,52 km,82 ski lifts,"€ 62,-"
55, Les 3 Vallées – Val Thorens/​Les Menuires/​Méribel/​Courchevel ,France,Auvergne-Rhône-Alpes,4.6,1100 m,3230 m,312 km,216 km,72 km,137 ski lifts,€ 64.50
56, Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm ,Austria,Tyrol (Tirol),4.6,630 m,2500 m,44 km,70 km,28 km,44 ski lifts,€ 57.50
57, St. Moritz – Corviglia ,Switzerland,Eastern Switzerland,4.6,1720 m,3022 m,42 km,79 km,34 km,24 ski lifts,
58, Hochkönig – Maria Alm/​Dienten/​Mühlbach ,Austria,Salzburg (Salzburger Land),4.5,800 m,1900 m,52 km,41 km,27 km,34 ski lifts,"€ 57,-"
59, Kronplatz (Plan de Corones) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.5,973 m,2275 m,52 km,42 km,25 km,33 ski lifts,"€ 60,-"
60, Snow Space Salzburg – Flachau/​Wagrain/​St. Johann-Alpendorf ,Austria,Salzburg (Salzburger Land),4.5,740 m,1980 m,34 km,82 km,4 km,44 ski lifts,"€ 58,-"
61, Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.5,852 m,2504 m,50 km,67 km,33 km,58 ski lifts,"€ 58,-"
62, Bad Gastein/​Bad Hofgastein – Schlossalm/​Angertal/​Stubnerkogel ,Austria,Salzburg (Salzburger Land),4.4,860 m,2300 m,30.8 km,52.5 km,2.6 km,18 ski lifts,€ 58.50
63, Schmittenhöhe – Zell am See ,Austria,Salzburg (Salzburger Land),4.4,760 m,2000 m,30 km,28 km,19 km,28 ski lifts,€ 58.50
64, Adelboden/​Lenk – Chuenisbärgli/​Silleren/​Hahnenmoos/​Metsch ,Switzerland,Espace Mittelland,4.4,1260 m,2200 m,46 km,34 km,6 km,23 ski lifts,"SFr. 67,- / approx. € 63,-"
65, Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp ,Andorra,None,4.4,1710 m,2640 m,100 km,77 km,33 km,65 ski lifts,"€ 52,-"
66, La Plagne (Paradiski) ,France,Auvergne-Rhône-Alpes,4.4,1207 m,3167 m,139 km,59 km,27 km,71 ski lifts,"€ 55,-"
67, Serre Chevalier – Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains ,France,Provence-Alpes-Côte d’Azur,4.4,1200 m,2800 m,137.5 km,80 km,32.5 km,55 ski lifts,"€ 53,-"
68, Zermatt/​Breuil-Cervinia/​Valtournenche – Matterhorn ,Switzerland,Lemanic Region,4.4,1562 m,3899 m,75 km,220 km,27 km,52 ski lifts,"SFr. 92,- / approx. € 86,-"
69, Laax/​Flims/​Falera ,Switzerland,Eastern Switzerland,4.4,1100 m,3018 m,88 km,81 km,19 km,28 ski lifts,"SFr. 89,- / approx. € 83,-"
70, Aletsch Arena – Riederalp/​Bettmeralp/​Fiesch Eggishorn ,Switzerland,Lemanic Region,4.4,1845 m,2869 m,42 km,50 km,12 km,35 ski lifts,
71, Andermatt/​Oberalp/​Sedrun ,Switzerland,Central Switzerland,4.4,1444 m,2600 m,18 km,40 km,12 km,13 ski lifts,
72, 4 Vallées – Verbier/​La Tzoumaz/​Nendaz/​Veysonnaz/​Thyon ,Switzerland,Lemanic Region,4.3,821 m,3330 m,107 km,202 km,103 km,67 ski lifts,"SFr. 78,- / approx. € 73,-"
73, Gurgl – Obergurgl-Hochgurgl ,Austria,Tyrol (Tirol),4.3,1793 m,3082 m,60.2 km,33.2 km,14.3 km,23 ski lifts,"€ 60,-"
74, Alpe di Siusi (Seiser Alm) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.3,1669 m,2220 m,15 km,45 km,3 km,21 ski lifts,"€ 59,-"
75, Alta Badia ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.3,1324 m,2550 m,70 km,52 km,8 km,53 ski lifts,"€ 60,-"
76, Les 2 Alpes ,France,Auvergne-Rhône-Alpes,4.3,1280 m,3523 m,110 km,56 km,34 km,46 ski lifts,"€ 53,-"
77, Livigno ,Italy,Lombardy,4.3,1816 m,2798 m,30 km,65 km,20 km,32 ski lifts,"€ 50,-"
78, Les Portes du Soleil – Morzine/​Avoriaz/​Les Gets/​Châtel/​Morgins/​Champéry ,Switzerland,Lemanic Region,4.3,985 m,2254 m,310 km,210 km,60 km,172 ski lifts,"€ 59,-"
79, Katschberg ,Austria,Carinthia (Kärnten),4.3,1066 m,2220 m,10 km,50 km,10 km,16 ski lifts,"€ 49,-"
80, Scuol – Motta Naluns ,Switzerland,Eastern Switzerland,4.2,1250 m,2785 m,27 km,32 km,11 km,10 ski lifts,"SFr. 58,- / approx. € 54,-"
81, Passo San Pellegrino/​Falcade ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1190 m,2513 m,20.5 km,38.5 km,8.5 km,15 ski lifts,"€ 51,-"
82, Belvedere/​Col Rodella/​Ciampac/​Buffaure – Canazei/​Campitello/​Alba/​Pozza di Fassa ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1320 m,2485 m,7.3 km,40.7 km,7.2 km,36 ski lifts,"€ 54,-"
83, Ponte di Legno/​Tonale/​Presena Glacier/​Temù (Pontedilegno-Tonale) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1121 m,3000 m,24 km,61 km,15 km,28 ski lifts,"€ 46,-"
84, Via Lattea – Sestriere/​Sauze d’Oulx/​San Sicario/​Claviere/​Montgenèvre ,Italy,Piedmont (Piemonte),4.2,1372 m,2789 m,96 km,220 km,84 km,63 ski lifts,"€ 50,-"
85, Parsenn (Davos Klosters) ,Switzerland,Eastern Switzerland,4.2,810 m,2844 m,17.3 km,60.5 km,17.7 km,18 ski lifts,"SFr. 73,- / approx. € 68,-"
86, Baqueira/​Beret ,Spain,Catalonia (Catalunya),4.2,1500 m,2610 m,80 km,60 km,20 km,29 ski lifts,€ 54.50
87, Trysil ,Norway,Hedmark,4.2,415 m,1100 m,33 km,18 km,20 km,31 ski lifts,"NOK 525,- / approx. € 47,-"
88, Alpe d'Huez ,France,Auvergne-Rhône-Alpes,4.2,1125 m,3330 m,70 km,130 km,50 km,62 ski lifts,€ 54.50
89, Großarltal/​Dorfgastein ,Austria,Salzburg (Salzburger Land),4.1,849 m,2033 m,27.8 km,34 km,1.4 km,17 ski lifts,€ 57.50
90, Megève/​Saint-Gervais ,France,Auvergne-Rhône-Alpes,4.1,850 m,2353 m,98 km,134 km,31 km,81 ski lifts,€ 50.50
91, Le Grand Massif – Flaine/​Les Carroz/​Morillon/​Samoëns/​Sixt ,France,Auvergne-Rhône-Alpes,4.1,697 m,2480 m,135 km,95 km,35 km,55 ski lifts,€ 48.50
92, Nassfeld – Hermagor ,Austria,Carinthia (Kärnten),4.1,600 m,2002 m,30 km,69 km,11 km,30 ski lifts,"€ 51,-"
93, Arabba/​Marmolada ,Italy,Venetia (Veneto),4.1,1446 m,3269 m,23.6 km,30.5 km,8.9 km,26 ski lifts,"€ 55,-"
94, Zauchensee/​Flachauwinkl ,Austria,Salzburg (Salzburger Land),4.1,1000 m,2176 m,23.5 km,17.2 km,4.3 km,15 ski lifts,"€ 58,-"
95, Kleine Scheidegg/​Männlichen – Grindelwald/​Wengen ,Switzerland,Espace Mittelland,4.1,944 m,2320 m,33 km,56 km,13 km,24 ski lifts,"SFr. 69,- / approx. € 65,-"
96, Paganella – Andalo ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.1,1040 m,2125 m,11 km,27.8 km,1.2 km,14 ski lifts,"€ 47,-"
97, Jakobshorn (Davos Klosters) ,Switzerland,Eastern Switzerland,4.1,1540 m,2590 m,25.5 km,13.2 km,2.5 km,11 ski lifts,"SFr. 69,- / approx. € 65,-"
98, Espace Diamant – Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland ,France,Auvergne-Rhône-Alpes,4.1,1000 m,2069 m,132 km,49 km,11 km,81 ski lifts,€ 42.60
99, Levi ,Finland,Northern Finland,4.1,206 m,531 m,17.5 km,18.1 km,2.9 km,24 ski lifts,"€ 47,-"
100, Les Arcs/​Peisey-Vallandry (Paradiski) ,France,Auvergne-Rhône-Alpes,4.1,1200 m,3226 m,104 km,70 km,26 km,47 ski lifts,"€ 55,-"
101, Stubai Glacier (Stubaier Gletscher) ,Austria,Tyrol (Tirol),4.1,1697 m,3212 m,25 km,15 km,25 km,22 ski lifts,"€ 52,-"
102, Corvatsch/​Furtschellas ,Switzerland,Eastern Switzerland,4.1,1797 m,3303 m,13 km,89.3 km,17.7 km,14 ski lifts,
103, Radstadt/​Altenmarkt ,Austria,Salzburg (Salzburger Land),4,850 m,1571 m,9.2 km,7.2 km,0.6 km,8 ski lifts,"€ 58,-"
104, Åre ,Sweden,Northern Sweden (Norrland),4,380 m,1274 m,45 km,38 km,8 km,31 ski lifts,"Skr 464,- / approx. € 45,-"
105, Alagna Valsesia/​Gressoney-La-Trinité/​Champoluc/​Frachey (Monterosa Ski) ,Italy,Aosta Valley (Valle d'Aosta),4,1212 m,3275 m,23 km,94 km,15 km,20 ski lifts,"€ 47,-"
106, Alpe Lusia – Moena/​Bellamonte ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1367 m,2340 m,12.9 km,10.6 km,4 km,8 ski lifts,"€ 51,-"
107, 3 Zinnen Dolomites – Helm/​Stiergarten/​Rotwand/​Kreuzbergpass ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1130 m,2200 m,40.4 km,37.6 km,8.4 km,20 ski lifts,"€ 59,-"
108, Hemsedal ,Norway,Buskerud,4,620 m,1450 m,29.2 km,10.8 km,4.1 km,19 ski lifts,"NOK 525,- / approx. € 47,-"
109, Dachstein West – Gosau/​Russbach/​Annaberg ,Austria,Salzburg (Salzburger Land),4,745 m,1617 m,15 km,33 km,3 km,17 ski lifts,€ 46.70
110, Galtür – Silvapark ,Austria,Tyrol (Tirol),4,1600 m,2300 m,6 km,25 km,12 km,10 ski lifts,€ 43.50
111, Formigal ,Spain,Aragon,4,1501 m,2251 m,47 km,70 km,20 km,15 ski lifts,"€ 48,-"
112, Civetta – Alleghe/​Selva di Cadore/​Palafavera/​Zoldo ,Italy,Venetia (Veneto),4,1000 m,2100 m,28 km,36 km,8 km,22 ski lifts,"€ 51,-"
113, Hochzeiger – Jerzens ,Austria,Tyrol (Tirol),4,1450 m,2450 m,10 km,22 km,8 km,9 ski lifts,"€ 46,-"
114, First – Grindelwald ,Switzerland,Espace Mittelland,4,1050 m,2500 m,30 km,11 km,8 km,10 ski lifts,"SFr. 69,- / approx. € 65,-"
115, Hintertux Glacier (Hintertuxer Gletscher) ,Austria,Tyrol (Tirol),4,1500 m,3250 m,14 km,35 km,2 km,20 ski lifts,€ 57.50
116, Rinderberg/​Saanerslochgrat/​Horneggli – Zweisimmen/​Saanenmöser/​Schönried/​St. Stephan ,Switzerland,Espace Mittelland,4,948 m,2011 m,64.3 km,20.6 km,4 km,17 ski lifts,"SFr. 74,- / approx. € 69,-"
117, Saas-Fee ,Switzerland,Lemanic Region,4,1800 m,3573 m,20 km,60 km,20 km,23 ski lifts,"SFr. 75,- / approx. € 70,-"
118, Titlis – Engelberg ,Switzerland,Central Switzerland,4,1000 m,3020 m,23.5 km,45.5 km,13 km,19 ski lifts,"SFr. 68,- / approx. € 64,-"
119, Folgaria/​Fiorentini ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1200 m,1850 m,36.4 km,32 km,5.6 km,22 ski lifts,"€ 44,-"
120, Jasná Nízke Tatry – Chopok ,Slovakia,Žilina (Žilinský kraj),4,943 m,2004 m,19.2 km,17.9 km,7.4 km,22 ski lifts,"€ 60,-"
121, Plose – Brixen (Bressanone) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1067 m,2505 m,19.5 km,9.5 km,13.5 km,7 ski lifts,"€ 52,-"
122, Hafjell ,Norway,Oppland,4,195 m,1059 m,33 km,7 km,4 km,15 ski lifts,"NOK 470,- / approx. € 42,-"
123, Cortina d'Ampezzo ,Italy,Venetia (Veneto),4,1217 m,2828 m,45 km,59 km,16 km,29 ski lifts,"€ 48,-"
124, Les Sybelles – Le Corbier/​La Toussuire/​Les Bottières/​St Colomban des Villards/​St Sorlin/​St Jean d’Arves ,France,Auvergne-Rhône-Alpes,4,1100 m,2620 m,53 km,238.5 km,18.5 km,60 ski lifts,€ 46.60
125, Kvitfjell ,Norway,Oppland,3.9,178 m,1032 m,21.5 km,12.5 km,5 km,11 ski lifts,"NOK 470,- / approx. € 42,-"
126, Hinterstoder – Höss ,Austria,Upper Austria (Oberösterreich),3.9,600 m,2000 m,12 km,18 km,10 km,14 ski lifts,"€ 47,-"
127, Kühtai ,Austria,Tyrol (Tirol),3.9,1938 m,2520 m,9.3 km,26.8 km,11.2 km,11 ski lifts,"€ 43,-"
128, Ruka ,Finland,Northern Finland,3.9,291 m,492 m,9.1 km,7 km,2.8 km,16 ski lifts,€ 46.50
129, Fellhorn/​Kanzelwand – Oberstdorf/​Riezlern ,Germany,Bavaria (Bayern),3.9,920 m,1967 m,13 km,19 km,2 km,14 ski lifts,"€ 51,-"
130, Ylläs ,Finland,Northern Finland,3.9,200 m,718 m,21 km,28 km,6 km,26 ski lifts,"€ 46,-"
131, Espace San Bernardo – La Rosière/​La Thuile ,France,Auvergne-Rhône-Alpes,3.9,1190 m,2800 m,68 km,70 km,14 km,34 ski lifts,€ 47.50
132, Galibier Thabor – Valmeinier/​Valloire ,France,Auvergne-Rhône-Alpes,3.9,1430 m,2750 m,60 km,85 km,15 km,29 ski lifts,"€ 43,-"
133, Nauders am Reschenpass – Bergkastel ,Austria,Tyrol (Tirol),3.9,1400 m,2740 m,23 km,33 km,11 km,12 ski lifts,€ 46.50
134, Idre Fjäll ,Sweden,Central Sweden,3.9,588 m,890 m,17 km,22 km,2 km,22 ski lifts,"Skr 440,- / approx. € 42,-"
135, Wildhaus – Gamserrugg (Toggenburg) ,Switzerland,Eastern Switzerland,3.9,1020 m,2076 m,3 km,17 km,3 km,6 ski lifts,"SFr. 55,- / approx. € 51,-"
136, Le Grand Domaine – Valmorel/​Doucy/​Celliers/​St François Longchamp ,France,Auvergne-Rhône-Alpes,3.8,1250 m,2550 m,115 km,35 km,15 km,52 ski lifts,€ 46.60
137, La Molina/​Masella – Alp2500 ,Spain,Catalonia (Catalunya),3.8,1616 m,2531 m,76 km,47 km,18 km,28 ski lifts,"€ 48,-"
138, Bansko ,Bulgaria,Blagoevgrad,3.8,990 m,2560 m,20 km,24.5 km,3.7 km,14 ski lifts,"BGN 65,- / approx. € 33,-"
139, Tandådalen/​Hundfjället (Sälen) ,Sweden,Northern Sweden (Norrland),3.8,572 m,872 m,18 km,15 km,12 km,40 ski lifts,"Skr 475,- / approx. € 46,-"
140, Myrkdalen ,Norway,Western Norway (Vestlandet),3.8,450 m,1060 m,12.5 km,12 km,4.5 km,8 ski lifts,"NOK 470,- / approx. € 42,-"
141, Pitztal Glacier (Pitztaler Gletscher) ,Austria,Tyrol (Tirol),3.8,2685 m,3440 m,4 km,16 km,1 km,6 ski lifts,"€ 53,-"
142, Ehrwalder Alm – Ehrwald ,Austria,Tyrol (Tirol),3.8,1112 m,1923 m,18.1 km,7.4 km,2 km,7 ski lifts,€ 49.50
143, Alpe Cermis – Cavalese ,Italy,Trentino-Alto Adige (Trentino-Südtirol),3.8,860 m,2250 m,10 km,9 km,5 km,7 ski lifts,"€ 51,-"
144, Val Cenis – Lanslevillard/​Lanslebourg/​Termignon ,France,Auvergne-Rhône-Alpes,3.8,1300 m,2800 m,73 km,42 km,10 km,29 ski lifts,"€ 41,-"
145, Vars/​Risoul – La Forêt Blanche ,France,Provence-Alpes-Côte d’Azur,3.8,1650 m,2750 m,75 km,90 km,20 km,41 ski lifts,€ 41.50
146, Espace Lumière – Pra Loup/​Val d’Allos ,France,Provence-Alpes-Côte d’Azur,3.8,1608 m,2576 m,56 km,93.5 km,30.5 km,35 ski lifts,€ 40.50
147, Monte Bondone ,Italy,Trentino-Alto Adige (Trentino-Südtirol),3.8,1189 m,2090 m,4.8 km,14 km,0 km,4 ski lifts,"€ 39,-"
148, Obersaxen/​Mundaun/​Val Lumnezia ,Switzerland,Eastern Switzerland,3.8,1201 m,2310 m,60 km,40 km,20 km,16 ski lifts,"SFr. 59,- / approx. € 55,-"
149, Brigels/​Waltensburg/​Andiast ,Switzerland,Eastern Switzerland,3.8,1102 m,2418 m,11 km,26 km,3 km,10 ski lifts,"SFr. 60,- / approx. € 56,-"
150, Meiringen-Hasliberg ,Switzerland,Espace Mittelland,3.8,1055 m,2433 m,20 km,34 km,6 km,13 ski lifts,"SFr. 59,- / approx. € 55,-"
151, Bad Kleinkirchheim ,Austria,Carinthia (Kärnten),3.8,1087 m,2055 m,18 km,77 km,8 km,22 ski lifts,"€ 51,-"
152, Brandnertal – Brand/​Bürserberg ,Austria,Vorarlberg,3.8,904 m,2000 m,23 km,28 km,3 km,14 ski lifts,"€ 51,-"
153, Riesneralm – Donnersbachwald ,Austria,Styria (Steiermark),3.8,973 m,1820 m,20 km,9 km,3 km,5 ski lifts,"€ 44,-"
154, Les 7 Laux – Prapoutel/​Le Pleynet/​Pipay ,France,Auvergne-Rhône-Alpes,3.8,1350 m,2400 m,46 km,36 km,38 km,22 ski lifts,€ 36.50
155, Espace Villard Corrençon – Villard-de-Lans/​Corrençon-en-Vercors ,France,Auvergne-Rhône-Alpes,3.8,1050 m,2050 m,50 km,50 km,25 km,21 ski lifts,"€ 38,-"
156, Les Contamines/​Hauteluce ,France,Auvergne-Rhône-Alpes,3.8,1164 m,2437 m,40 km,60 km,20 km,24 ski lifts,€ 42.70
157, La Clusaz/​Manigod ,France,Auvergne-Rhône-Alpes,3.8,1050 m,2485 m,67 km,42 km,16 km,49 ski lifts,"€ 43,-"
158, Golm ,Austria,Vorarlberg,3.7,650 m,2110 m,13 km,12 km,1.5 km,9 ski lifts,€ 51.50
159, Axamer Lizum ,Austria,Tyrol (Tirol),3.7,1580 m,2340 m,7 km,21 km,2 km,10 ski lifts,"€ 43,-"
160, Ifen ,Austria,Vorarlberg,3.7,1270 m,2030 m,12 km,6.9 km,3.7 km,4 ski lifts,"€ 51,-"
161, Christlum – Achenkirch ,Austria,Tyrol (Tirol),3.7,950 m,1800 m,6 km,16 km,5 km,11 ski lifts,"€ 49,-"
