"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"135","Sweden",890,17,22,2,22,42,302
"136","Switzerland",2076,3,17,3,6,51,1056
"137","France",2550,115,35,15,52,46.6,1300
"138","Spain",2531,76,47,18,28,48,915
"139","Bulgaria",2560,20,245,37,14,33,1570
"140","Sweden",872,18,15,12,40,46,300
"141","Norway",1060,125,12,45,8,42,610
"142","Austria",3440,4,16,1,6,53,755
"143","Austria",1923,181,74,2,7,49.5,811
"144","Italy",2250,10,9,5,7,51,1390
"145","France",2800,73,42,10,29,41,1500
"146","France",2750,75,90,20,41,41.5,1100
"147","France",2576,56,935,305,35,40.5,968
"148","Italy",2090,48,14,0,4,39,901
"149","Switzerland",2310,60,40,20,16,55,1109
"150","Switzerland",2418,11,26,3,10,56,1316
"151","Switzerland",2433,20,34,6,13,55,1378
"152","Austria",2055,18,77,8,22,51,968
"153","Austria",2000,23,28,3,14,51,1096
"154","Austria",1820,20,9,3,5,44,847
"155","France",2400,46,36,38,22,36.5,1050
"156","France",2050,50,50,25,21,38,1000
"157","France",2437,40,60,20,24,42.7,1273
"158","France",2485,67,42,16,49,43,1435
"159","Austria",2110,13,12,15,9,51.5,1460
"160","Austria",2340,7,21,2,10,43,760
"161","Austria",2030,12,69,37,4,51,760
"162","Austria",1800,6,16,5,11,49,850
"163","Finland",500,5,44,2,7,46.5,280
"164","Austria",1980,19,7,2,10,58,980
"165","Italy",3212,10,18,14,11,46,1201
"166","Sweden",887,22,17,3,49,46,308
"167","Austria",1800,21,12,1,8,44,950
"168","Italy",2030,63,84,12,3,40,890
"169","Switzerland",2970,19,23,12,16,65,2174
"170","Switzerland",2900,265,586,299,21,60,1330
"171","Spain",3282,50,49,78,17,52,1182
"172","Norway",1183,191,132,21,8,47,361
"173","Austria",2456,8,25,8,7,44,1416
"174","Austria",2272,12,215,4,13,43,862
"175","Austria",2300,208,53,2,8,51,877
"176","Austria",2400,26,17,7,10,45,1305
"177","Italy",3250,17,13,14,10,46,1350
"178","Switzerland",2927,55,70,15,19,83,1417
"179","Austria",2060,13,18,9,8,48,1240
"180","Austria",2180,10,10,9,5,42.4,1132
"181","Austria",2175,15,125,5,10,46.5,1225
"182","Germany",1563,5,23,3,14,41,713
"183","Czech Republic",1235,10,159,19,17,22,533
"184","Austria",3113,148,55,3,6,49,963
"185","Austria",3122,52,72,5,9,50,1014
"186","France",2500,58,35,7,29,45,1250
"187","Switzerland",2833,20,30,10,12,58,1606
"188","Andorra",2560,31,24,8,23,41,1010
