"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"598","Sweden",794,8,12,0,10,45,374
"599","France",1736,12,7,3,5,19,456
"600","France",2055,9,82,18,9,29.9,605
"601","United Kingdom",1230,24,6,2,11,31,590
"602","Austria",1818,18,10,0,6,37,358
"603","Kosovo",2522,2,101,35,9,27.9,804
"604","France",1700,22,5,2,11,17.5,445
"605","Norway",700,66,52,16,5,39,200
"606","Bosnia and Herzegovina",1528,59,71,0,5,18,339
"607","Norway",924,10,6,1,9,39,364
"608","Poland",1250,15,62,16,9,24,415
"609","Norway",1203,14,5,1,4,37,547
"610","Bosnia and Herzegovina",2067,45,7,1,8,18,797
"611","Switzerland",2194,3,10,2,4,40,708
"612","Italy",1650,11,9,0,3,23.6,300
"613","Germany",1417,15,1,0,4,24,707
"614","Germany",1400,0,13,0,5,32,400
"615","Austria",865,17,1,0,2,24.1,95
"616","Austria",1565,45,37,21,4,41,475
"617","Italy",1694,5,108,31,4,28,742
"618","Slovakia",1055,2,55,0,3,24,270
"619","Bulgaria",2350,5,45,0,3,26.6,910
"620","Sweden",875,13,3,3,14,46,427
"621","Italy",2216,5,7,3,5,49,343
"622","France",1600,12,5,1,10,20.5,588
"623","Germany",1405,1,6,5,2,25,640
"624","France",1541,10,4,2,9,19,596
"625","Italy",2000,4,2,3,8,23,898
"626","France",2000,5,5,3,8,22.1,550
"627","Austria",1305,2,2,1,3,31,305
"628","Austria",2007,35,64,2,3,39,928
"629","Romania",1539,25,55,0,6,23,561
"630","Czech Republic",1232,64,37,6,7,27,582
"631","Czech Republic",860,65,38,0,4,18,240
"632","Spain",2000,14,1,0,7,36,350
"633","Switzerland",1684,10,10,0,6,33,753
"634","Sweden",946,8,4,2,11,46,440
"635","Czech Republic",1351,2,5,1,5,21,569
"636","France",1710,10,8,2,7,20.5,660
"637","Italy",2000,7,8,0,9,39.5,750
"638","Italy",2510,2,4,3,4,26,1060
"639","Austria",1715,5,4,1,7,33.9,1060
"640","France",2000,11,7,2,6,24.5,500
"641","Slovakia",1160,29,36,15,7,26.2,340
"642","Poland",805,11,14,0,1,15,75
"643","Italy",1785,24,19,0,1,20,407
"644","Austria",1467,9,12,4,12,34.6,767
"645","Italy",2336,15,88,0,4,35,526
"646","Czech Republic",812,48,22,6,6,23,270
"647","Romania",1225,14,28,0,1,27.8,450
"648","Austria",780,3,2,0,3,29.5,140
"649","Italy",1814,14,2,0,4,16,328
"650","Lithuania",163,12,0,0,2,29,66
"651","Germany",955,2,0,0,2,20,205
"652","Germany",800,41,27,41,7,26,200
"653","France",1657,16,12,1,6,17,252
"654","Switzerland",2536,3,2,4,5,38,717
"655","Germany",1675,1,6,0,6,30.5,875
"656","Austria",1210,38,4,0,3,29,400
"657","Spain",1950,42,33,13,4,26,463
"658","Italy",1600,1,25,0,2,20,465
"659","Romania",1940,38,23,0,5,23,620
"660","Austria",1674,22,35,0,4,32,714
"661","Italy",2547,3,87,0,9,37,1207
"662","Poland",840,15,12,8,4,27,240
"663","Switzerland",2560,13,13,4,4,40,791
"664","Norway",1300,7,4,1,7,38,620
"665","Poland",902,16,13,0,2,21,292
"666","Poland",861,6,16,0,3,23,164
"667","Italy",1775,7,8,0,2,22,400
"668","Italy",2060,48,59,3,3,30,447
"669","Greece",2115,1,14,4,8,13,469
"670","Slovakia",1498,29,25,3,5,29,468
"671","Spain",1979,10,7,0,9,37.5,242
"672","France",1600,5,5,2,9,22,490
"673","Austria",1886,54,114,38,7,36,346
"674","Germany",1230,0,3,6,2,20.4,500
"675","Italy",2185,3,10,2,6,28,685
"676","Czech Republic",870,25,36,9,9,18,240
"677","Poland",1114,9,65,1,8,24,470
"678","Sweden",990,5,12,5,8,33,317
"679","Spain",1760,8,2,0,6,25,255
"680","Czech Republic",958,25,6,0,8,24,401
"681","Switzerland",2267,7,5,3,4,40,672
"682","Norway",565,5,2,2,5,38,330
"683","Italy",2250,1,10,0,4,30.6,1066
"684","Austria",2109,3,9,0,7,41.9,1500
"685","Italy",2063,32,17,29,2,20,863
"686","Czech Republic",1000,25,59,8,9,22,460
"687","Greece",2340,36,62,22,7,25,640
"688","Slovakia",850,2,14,0,2,27,271
"689","Iceland",950,6,7,19,7,31,474
"690","Switzerland",1870,10,30,0,13,51,425
"691","Romania",1295,2,27,0,2,29,295
"692","Austria",1671,5,7,1,5,41,521
"693","Sweden",909,10,10,1,6,39,387
"694","Switzerland",1460,10,10,10,8,36,369
"695","Austria",1200,11,2,0,3,28,600
"696","Italy",1700,4,2,2,2,26.6,600
"697","Greece",2000,45,56,1,5,15.8,350
"698","Bulgaria",2272,5,35,5,2,23.8,687
"699","Netherlands",80,3,3,0,6,46.5,65
"700","Poland",1046,13,23,1,6,24,216
"701","Austria",1102,1,4,0,2,34.5,288
"702","Austria",1531,6,5,0,4,28,561
"703","Romania",1795,36,66,0,5,29,379
"704","Italy",2000,46,2,3,2,20,550
"705","Austria",1300,8,25,2,5,38,404
"706","Poland",1557,2,5,1,11,22,807
"707","France",1751,8,7,5,10,20,506
"708","Switzerland",2000,11,15,25,4,43,600
"709","Austria",1885,7,8,0,7,51.5,955
"710","Sweden",789,10,4,6,5,42,350
"711","Switzerland",2200,10,45,5,4,41,940
"712","France",1630,4,6,0,7,29,610
"713","Romania",1720,6,43,31,8,24.6,420
"714","Central Russia",193,5,1,0,2,20.2,60
"715","Austria",1976,4,7,1,4,48,976
"716","France",1950,10,13,0,13,29,550
"717","Sweden",306,25,25,25,8,38,200
"718","Sweden",823,4,3,3,6,35,401
"719","Switzerland",1890,4,4,2,3,37,660
"720","Italy",1831,2,5,4,2,30,481
"721","Italy",1845,21,33,21,6,29,757
"722","Italy",2604,7,56,0,5,30,694
"723","France",2200,8,2,8,6,29.8,650
"724","France",1851,3,3,4,5,19.5,701
"725","Italy",2400,43,3,1,3,46,830
"726","Italy",1491,56,112,11,8,29,222
"727","Slovakia",1396,2,10,2,10,30,676
"728","Ukraine",1223,5,3,1,5,21,552
"729","Italy",1880,23,82,5,7,35,493
"730","Italy",1485,19,91,24,3,28,283
"731","Ukraine",1036,2,6,5,4,26,545
"732","Italy",1630,3,3,2,4,27,620
"733","Czech Republic",1215,51,74,5,12,32,385
"734","France",1211,8,5,1,9,25.5,343
"735","Czech Republic",710,52,3,0,5,18,153
"736","Italy",1868,2,6,14,4,28,362
"737","Finland",284,10,8,2,14,41,200
"738","Italy",2020,2,2,3,5,36,380
"739","Austria",1078,10,4,2,7,29.5,358
"740","Austria",1836,1,8,1,5,55.5,907
"741","Poland",1001,7,4,0,10,18,391
"742","Italy",2100,2,5,35,6,28,432
"743","Romania",2010,17,92,14,3,23,360
"744","Germany",1350,6,7,2,8,30.5,370
"745","Sweden",370,5,3,13,8,37,200
"746","Italy",1740,4,32,16,2,15,688
"747","Switzerland",2400,4,8,0,7,70,728
"748","France",2020,20,15,0,8,19,470
"749","Austria",1840,7,2,3,4,30.5,440
"750","Poland",1100,5,2,0,2,22.2,590
"751","Italy",1750,2,73,1,2,27,390
"752","Czech Republic",1019,15,0,0,2,22,314
"753","Norway",873,66,42,4,4,34,550
"754","Poland",1060,8,17,0,2,28,440
"755","Czech Republic",1019,64,4,2,9,23,479
"756","Italy",1729,38,24,21,4,27,269
"757","Ukraine",1232,3,7,2,8,20.6,550
"758","Austria",1077,2,12,8,2,21,225
"759","Belgium",102,4,1,0,3.4,40,42
"760","Italy",1860,22,58,0,4,28,635
"761","Italy",1895,8,14,8,6,20,535
"762","Czech Republic",865,43,29,0,6,32,245
"763","Italy",1795,8,5,2,6,26,349
"764","Switzerland",2270,5,15,5,3,39,520
"765","Switzerland",1500,0,9,3,5,34,760
"766","Austria",1280,1,3,0,4,49,610
"767","Ukraine",1060,1,5,1,3,24,268
"768","Italy",1997,3,5,4,5,25,377
"769","Switzerland",2700,17,5,3,4,37,583
"770","France",1800,88,79,19,9,24,400
"771","Italy",2297,2,5,1,4,30,763
"772","Italy",2340,3,6,0,2,25,650
"773","Austria",1324,35,25,0,5,36,394
"774","Switzerland",1850,5,6,3,6,39,500
"775","Switzerland",1283,1,6,0,2,33,537
"776","Slovenia",1542,28,36,16,7,31,532
"777","Austria",1810,2,8,0,7,32,1000
"778","Norway",350,1,2,1,3,38,280
"779","Czech Republic",1020,37,3,13,5,25,370
"780","Greece",2005,4,3,2,6,14,585
"781","Greece",2480,98,47,0,5,15,450
"782","Sweden",872,10,5,0,8,34,323
"783","Austria",1980,59,25,0,4,40.5,530
"784","Switzerland",2362,7,6,4,6,49,398
"785","Germany",1700,21,147,0,8,32,800
"786","Italy",1592,25,8,1,7,25,303
"787","Spain",2535,54,4,1,8,27,576
"788","Austria",1230,29,37,22,3,28.6,250
"789","Switzerland",1950,3,75,22,4,33,465
"790","Italy",1734,4,11,2,4,22,920
"791","Austria",1363,3,3,2,3,32,223
"792","Italy",1738,12,61,27,8,25,368
"793","Switzerland",2040,2,3,2,5,41,990
"794","Italy",1397,34,67,0,2,24,161
"795","Greece",1912,8,4,0,5,13,502
"796","Slovakia",1456,2,3,0,6,32,306
"797","Italy",2498,1,7,0,5,26,686
"798","Russia",182,4,2,0,4,21,125
"799","Romania",657,2,1,0,3,22.2,277
"800","Italy",1837,2,6,2,6,22.8,391
"801","Greece",2220,37,27,2,8,17.6,380
"802","Netherlands",52,5,0,0,4,46.5,22
"803","Poland",997,21,1,9,4,24,210
"804","Austria",690,5,0,0,2,21,120
"805","Germany",970,10,13,5,7,33,405
"806","France",1242,15,1,0,3,27,180
"807","Italy",2654,15,6,0,5,20,1031
"808","Italy",2240,2,5,1,3,26,600
"809","Slovenia",1220,3,25,15,5,12,420
"810","Germany",1307,29,18,4,3,26,427
"811","Italy",1588,15,53,12,2,25,218
"812","Italy",2250,4,2,1,4,19,400
"813","Sweden",1010,10,12,3,17,37,420
"814","Germany",726,19,18,6,5,27.9,166
"815","Switzerland",1490,2,5,0,3,32,564
"816","Slovenia",1517,2,85,15,13,35,467
"817","Italy",1478,14,55,1,2,22,906
"818","Italy",2164,48,4,2,3,16,775
"819","Italy",2403,49,12,14,5,22,1253
"820","Romania",1445,0,14,6,1,24.8,256
"821","Czech Republic",800,25,2,5,8,18,200
"822","Austria",1330,2,55,5,4,28.2,493
"823","France",1495,75,41,12,6,27.9,317
"824","Slovakia",940,35,36,5,5,24,150
"825","Sweden",472,8,2,2,6,35,180
"826","Poland",950,2,17,0,5,24,150
"827","Greece",1850,11,6,0,11,15,330
"828","Sweden",195,4,1,0,7,37,152
"829","Austria",1300,5,2,0,4,33,590
"830","Italy",2131,1,3,2,1,19,408
"831","Bulgaria",2236,2,25,5,4,18,824
"832","France",1807,13,8,2,13,20.5,407
"833","France",1525,6,3,15,6,20,199
"834","Slovakia",759,32,38,0,2,22,237
"835","Slovakia",1252,5,31,15,6,24,317
"836","Switzerland",2180,4,21,0,4,34,603
"837","Ukraine",1703,4,5,1,13,30,303
"838","Norway",918,10,5,0,8,34,461
"839","France",2536,123,75,17,6,22.5,936
"840","France",1800,18,8,0,7,21,300
"841","Italy",1950,3,3,1,4,18,875
"842","United Kingdom",775,5,9,4,12,35,138
"843","Germany",1620,0,0,32,1,23.8,830
"844","Switzerland",2400,5,47,0,4,37,860
"845","Italy",1825,27,25,13,5,28,475
"846","Sweden",570,4,3,2,4,33,210
"847","Switzerland",1720,1,75,15,6,32,872
"848","Sweden",542,6,4,1,6,35,139
"849","Hungary",509,54,1,13,8,27,176
"850","Poland",851,26,2,0,5,22.6,462
"851","Germany",770,13,7,0,2,19,120
"852","France",280,7,0,0,1,29,80
"853","Norway",1060,0,4,2,1,39,360
"854","Germany",836,8,0,0,2,19,56
"855","France",1562,5,2,11,5,20,268
"856","Switzerland",1460,11,6,3,3,30,390
"857","Slovenia",1570,29,49,7,6,31,420
"858","Austria",1460,4,8,0,5,34,240
"859","Finland",235,2,54,47,14,43,151
"860","Ural Federal District",683,122,58,37,8,27,408
"861","Italy",1936,25,27,13,3,20,185
"862","Finland",312,5,48,1,7,41,160
"863","Austria",1500,3,4,2,4,34,400
"864","Sweden",985,132,44,25,3,45,310
"865","Romania",2208,0,0,14,1,20.2,508
"866","Germany",1708,10.6,3.8,8.6,1,31.3,852
"867","Italy",1643,5,43,1,1,20.6,217
"868","Italy",2050,15,15,2,2,15,386
"869","Austria",1750,4,3,0,2,37,450
"870","Norway",550,38,49,46,3,34,500
"871","Spain",1800,4,3,0,6,22,287
"872","Italy",2040,6,27,21,3,24,422
"873","Germany",1723,0,7,42,4,38,932
"874","Italy",1109,3,1,1,3,20,165
"875","Italy",1780,15,2,7,2,24,670
"876","Czech Republic",1202,35,36,9,11,25,348
"877","Norway",865,7,5,4,5,32,495
"878","Slovenia",1549,2,4,1,5,22,259
"879","Switzerland",2800,3,10,12,3,36,850
"880","Austria",1450,5,2,1,4,36,300
"881","Sweden",390,3,33,7,7,35,265
"882","Central Russia",190,3,18,16,8,22,50
"883","Italy",1800,4,3,1,4,22.8,371
"884","Slovakia",1230,3,1,1,6,16,592
"885","Romania",1620,9.6,37.2,0,2,24,850
"886","Germany",1687,31,85,0,5,29,249
"887","Sweden",889,5,5,4,5,36,327
"888","Sweden",309,2,32,8,8,36,150
"889","Poland",720,22,15,0,4,19,264
"890","Austria",1230,3,2,1,3,34,370
"891","Germany",1050,2,3,1,3,25,393
"892","Germany",1200,1,1,5,6,27,250
"893","Italy",1630,24,24,2,4,28,430
"894","Czech Republic",1164,13,18,8,8,20,302
"895","Switzerland",2221,6,2,0,6,39,695
"896","Czech Republic",1098,62,18,4,9,16,478
"897","Norway",1244,3,7,4,3,35,509
"898","France",1756,3,1,0,4,15.5,240
"899","Sweden",950,4,3,11,4,38,405
"900","Norway",648,10,3,2,4,39,518
"901","Austria",1886,7,9,2,7,30,306
"902","France",1730,10,4,2,7,21.7,380
"903","Norway",1280,8,7,2,5,36,450
"904","Slovenia",1361,3,2,0,1,18,380
"905","Sweden",920,6,7,2,5,39,500
"906","Sweden",799,10,5,25,3,33,289
"907","Italy",1810,6,38,6,3,23,305
"908","Portugal",1997,24,25,1,3,25,146
"909","Austria",2080,0,15,0,3,33,1099
"910","Italy",1429,4,19,0,1,19.2,354
"911","Germany",113,4,2,0,1,54,77
"912","United Kingdom",141,5,0,0,3,66,31
"913","United Kingdom",146,3,0,0,4,52,30
"914","Netherlands",25,3,0,0,2,46.5,20
"915","Germany",820,18,0,0,2,18,90
"916","Austria",1268,1,0,0,1,15,79
"917","Iceland",700,3,4,0,4,25,320
"918","Italy",1650,27,2,8,3,24,350
"919","France",1110,5,4,1,9,23,280
"920","Spain",2197,1,4,0,2,22,485
"921","Norway",815,76,65,16,6,34,570
"922","Switzerland",1930,25,45,0,5,36,300
"923","Ukraine",767,48,15,0,2,18,167
"924","Poland",891,15,4,0,3,21,151
"925","Austria",1342,11,5,0,4,33,632
"926","Romania",1670,14,8,9,2,25,180
"927","Switzerland",1550,8,4,1,2,34,500
"928","Switzerland",1580,10,10,0,9,30,430
"929","Switzerland",1950,2,3,1,3,39,830
"930","Germany",1600,8,42,1,2,17.5,791
"931","Sweden",503,4,3,1,5,33,215
"932","France",1300,3,2,1,5,15,146
"933","Sweden",450,102,49,9,7,35,290
"934","Austria",1600,35,5,2,5,33,350
"935","Italy",1776,48,6,3,2,22.2,220
"936","Ukraine",1200,2,5,0,4,20.6,480
"937","Bosnia and Herzegovina",1757,1,5,6,4,13,467
"938","France",1547,42,34,15,6,27.9,457
"939","Poland",810,11,6,0,4,23,215
"940","Czech Republic",850,22,9,14,10,19,240
"941","Poland",720,44,16,0,4,21,160
"942","Finland",437,45,2,5,5,43,180
"943","Italy",1850,28,23,2,5,20,430
"944","Norway",822,7,4,2,5,32,465
"945","Switzerland",1670,26,3,0,6,36,330
"946","Italy",2120,3,2,0,2,35,359
"947","Finland",410,5,6,2,5,44,248
"948","France",1780,83,16,43,5,22,270
"949","Norway",1115,49,69,16,5,35,355
"950","Romania",1156,23,21,19,3,21,248
"951","Italy",1585,34,23.4,5.2,3,20,285
"952","Finland",348,53,59,19,5,34,135
"953","Switzerland",1200,3,5,0,5,33,370
"954","Poland",685,15,1,13,3,23,200
"955","Bosnia and Herzegovina",1492,1,15,5,3,18,332
"956","Poland",712,1,0,0,2,23,152
"957","Germany",1674,1,1,1,6,34,1085
"958","Switzerland",1228,6,6,2,3,27,308
"959","Sweden",791,4,8,3,9,31,191
"960","Norway",1216,24,92,26,6,37,361
"961","Austria",1776,0,0,75,1,36.54,1307
"962","Romania",1170,1,29,0,2,26.8,570
"963","Austria",1000,8,21,1,3,21,200
"964","Germany",1024,4,0,0,5,20,174
"965","Germany",891,6,4,0,2,19.5,130
"966","Poland",998,2,0,0,2,24,162
"967","Austria",1004,1,0,0,1,17,86
"968","Finland",318,22,19,21,4,38,234
"969","France",1760,3,2,0,6,15,560
"970","Poland",954,28,21,6,3,15,152
"971","Spain",2260,41,25,1,5,31,296
"972","Italy",1845,8,3,7,2,30,275
"973","France",1700,12,1,7,11,17.5,450
"974","Finland",213,34,17,12,4,39.5,128
"975","Switzerland",2333,5,7,1,4,39,383
"976","Italy",1785,2,2,0,3,25,521
"977","Norway",515,68,68,14,6,31,315
"978","Austria",1078,7,5,2,6,27,363
"979","Montenegro",2213,28,11,8,6,12,698
"980","Czech Republic",805,23,23,5,6,17,195
"981","Slovenia",965,15,65,0,6,17.7,265
"982","Romania",1251,7,48,0,5,25.6,435
"983","Poland",711,11,2,9,3,19,116
"984","Slovakia",830,15,36,5,7,25,320
"985","Greece",1471,3,25,2,5,12,301
"986","Poland",716,4,2,0,5,21,196
"987","Croatia",1030,15,15,1,3,13,300
"988","France",1526,3,59,2,4,20,456
"989","Czech Republic",913,21,36,8,7,19,198
"990","France",1240,3,11,1,6,16,290
"991","Switzerland",1752,45,45,0,7,47,437
"992","Italy",1530,7,0,0,2,18.6,160
"993","Finland",425,4,52,25,9,39,195
"994","Norway",1300,3,1,0,1,38,240
"995","Czech Republic",733,1,15,5,2,18,133
"996","France",1850,4,5,1,5,22.1,550
"997","Austria",1200,4,5,3,4,27,350
"998","France",1800,45,6,15,8,17.3,400
"999","Romania",971,1,36,0,1,37,298
"1000","Austria",1520,4,6,2,5,27,210
"1001","Czech Republic",992,15,15,1,4,23,252
"1002","Germany",660,12,6,18,4,29,125
"1003","France",2013,6,3,2,5,21,486
"1004","Poland",1090,38,0,0,4,22,212
"1005","Switzerland",1593,5,2,2,11,37,528
"1006","Norway",875,7,1,2,4,35,550
"1007","Finland",340,3,6,25,6,34,169
"1008","North Caucasus",2380,1,3,0,2,26.3,450
"1009","Romania",1246,2,24,0,2,23.6,526
"1010","Netherlands",30,3,0,0,2,30.5,20
"1011","Germany",593,12,8,0,2,22,84
"1012","Germany",815,0,7,0,3,20,150
"1013","France",1574,43,2,5,7,18,524
"1014","Italy",1724,6,21,13,3,25,349
"1015","Austria",1710,6,4,2,7,36,390
"1016","Poland",886,45,9,2,5,23,276
"1017","Bosnia and Herzegovina",1758,15,3,0,2,15,458
"1018","Bosnia and Herzegovina",1551,15,2,5,3,15.6,261
"1019","Slovenia",902,9,16,6,3,17.1,431
"1020","Croatia",1363,35,2,0,4,23.4,263
"1021","Switzerland",2539,2,2,4,3,30,551
"1022","France",1350,137,13,0,12,19,250
"1023","Germany",1140,2,4,0,3,23.5,330
"1024","Switzerland",1400,10,2,0,3,31,540
"1025","France",1600,4,7,0,7,19.8,550
"1026","Slovenia",1666,3,19,8,4,22,254
"1027","Slovakia",929,28,0,0,3,21,124
"1028","Norway",1000,6,6,0,3,34,675
"1029","Austria",1700,3,7,1,5,38,470
"1030","Norway",950,8,3,1,3,38,450
"1031","Switzerland",1360,4,4,0,7,33,280
"1032","Finland",780,8,3,1,2,39.5,340
"1033","Poland",680,3,3,0,2,21,100
"1034","Switzerland",2200,8,7,0,3,26,470
"1035","Italy",1311,8,25,7,6,26.6,211
"1036","Germany",928,5,8,0,4,17,318
"1037","Italy",1820,4,19,1,2,15,250
"1038","Italy",1835,2,2,0,2,19,252
"1039","Greece",1806,34,12,3,4,13,156
"1040","Norway",740,5,3,1,2,36,230
"1041","France",1340,6,3,1,9,20,240
"1042","Switzerland",1263,55,25,2,3,26,401
"1043","Norway",950,4,35,2,3,35,470
"1044","Sweden",804,5,3,1,3,32,206
"1045","Sweden",890,5,3,2,2,24,190
"1046","France",1402,42,4,18,11,19,217
"1047","France",2100,32,32,1,3,15.3,620
"1048","Norway",1200,4,5,1,1,35,360
"1049","Switzerland",1482,55,3,15,2,25,332
"1050","Iceland",487,45,25,2,3,17,372
"1051","Iceland",840,3,2,4,3,22,327
"1052","Norway",1040,5,2,25,5,35,474
"1053","Germany",1240,3,5,2,6,25,360
"1054","Norway",710,35,55,1,4,39,485
"1055","Norway",1060,6,2,2,4,35,360
"1056","Germany",1418,43,23,1,4,22,528
"1057","Switzerland",1437,6,3,1,4,25,427
"1058","Germany",845,2,12,6,2,20,95
"1059","Finland",443,5,3,2,6,43,230
"1060","Austria",1250,1,6,3,3,31,450
"1061","Belarus",290,28,8,0,2,19.2,50
"1062","Italy",1826,3,16,3,2,19.4,340
"1063","Switzerland",1608,5,4,1,4,32,208
"1064","Switzerland",1365,6,3,1,3,31,445
"1065","Czech Republic",1214,3,1,0,8,18,354
"1066","France",1251,14,0,0,2,15.6,111
"1067","Sweden",744,3,6,1,3,32,314
"1068","Czech Republic",970,28,17,1,13,19,360
"1069","Slovakia",1102,3,5,2,5,20,302
"1070","Italy",1772,15,15,0,3,23,474
"1071","Switzerland",2200,15,35,0,4,32,320
"1072","Czech Republic",850,2,3,0,4,18,200
"1073","Sweden",321,5,1,3,4,31,226
"1074","France",1415,32,25,0,6,13.4,597
"1075","Switzerland",1330,5,35,15,2,26,380
"1076","Austria",2120,5,4,1,4,32.5,470
"1077","Switzerland",1246,5,4,1,2,22,176
"1078","Germany",842,25,15,5,4,23,252
"1079","Switzerland",1660,25,25,0,6,29,433
"1080","Ukraine",809,1,2,0,3,20.6,226
"1081","Italy",1767,3,1,0,2,27.2,122
"1082","Montenegro",1560,2,1,0,2,20.6,244
"1083","Germany",854,1,0,0,4,19,54
"1084","Germany",850,3,0,0,1,13,70
"1085","Germany",860,5,5,0,2,19,138
"1086","Germany",1196,8,8,8,5,20,416
"1087","Sweden",895,6,5,0,5,33,382
"1088","Czech Republic",774,29,27,0,5,20,256
"1089","Italy",1788,4,7,0,3,18,238
"1090","Switzerland",1750,5,8,2,2,26,350
"1091","France",1258,25,25,2,7,19,238
"1092","Norway",1065,2,2,3,2,39,365
"1093","Slovakia",1129,24,14,0,3,22,149
"1094","Sweden",830,71,49,0,1,23,375
"1095","Austria",2107,3,8,0,3,29,267
"1096","Bosnia and Herzegovina",1520,6,3,5,6,14,300
"1097","Italy",1995,25,3,23,4,24,345
"1098","Poland",1123,25,5,0,4,13,300
"1099","Slovakia",1385,2,61,5,5,16,735
"1100","Sweden",240,3,2,2,4,26,180
"1101","Norway",1149,67,27,6,3,35,209
"1102","France",1740,8,4,0,9,20,400
"1103","Austria",1600,4,0,0,1,35,693
"1104","Volga Federal District",240,59,7,0,9,20.4,168
"1105","Poland",654,26,8,0,4,19,156
"1106","France",2170,3,3,0,6,18,430
"1107","Austria",1783,3,3,2,5,41,443
"1108","Austria",1340,7,5,0,7,32,298
"1109","Switzerland",1485,2,4,2,2,33,385
"1110","Slovakia",890,7,38,0,5,26,300
"1111","North Macedonia",2036,13.4,10.8,4.4,3,15,408
"1112","Italy",1695,46,2,22,5,22,415
"1113","Slovakia",1300,15,46,15,7,19.5,395
"1114","Norway",726,5,2,1,2,32,336
"1115","Norway",659,5,2,1,3,32,340
"1116","Italy",1342,0,5,5,1,22,124
"1117","Sweden",278,3,25,15,3,23,150
"1118","Norway",525,43,22,8,4,30,260
"1119","Finland",514,4,2,1,3,45.5,225
"1120","Czech Republic",960,0,11,7,1,22,210
"1121","Czech Republic",810,13,7,0,1,9,120
"1122","France",1340,43,33,1,5,20,290
"1123","Norway",500,5,7,3,2,24,380
"1124","Poland",629,16,7,1,4,17,207
"1125","Austria",1050,4,2,1,2,24.5,150
"1126","Czech Republic",869,3,33,7,6,16,280
"1127","Poland",960,12,8,6,3,16,260
"1128","Sweden",700,51,14,18,2,21,296
"1129","Romania",676,11,3,0,1,21.4,256
"1130","Belarus",300,18,8,2,5,17.2,55
"1131","Norway",250,1,5,4,2,24.6,80
"1132","Ukraine",684,5,2,0,1,20.6,246
"1133","Austria",1975,4,3,1,4,36.5,275
"1134","Czech Republic",670,1,5,0,2,16,180
"1135","Norway",600,35,35,15,6,31,440
"1136","Poland",766,28,18,0,6,24,151
"1137","Slovakia",968,22,19,0,4,22,243
"1138","Romania",1545,0,31,0,2,18,665
"1139","France",3534,3,0,0,3,51,2064
"1140","Czech Republic",720,3,1,0,4,16,142
"1141","Norway",780,2,2,0,3,35,230
"1142","Poland",661,11,1,0,2,23,201
"1143","Czech Republic",1007,22,6,0,3,16,248
"1144","Czech Republic",843,17,22,2,3,18,143
"1145","Slovakia",730,3,3,0,8,22,190
"1146","Poland",639,21,14,0,4,18,169
"1147","Italy",2388,0,6,0,2,21.6,1182
"1148","Romania",1918,6,14,14,6,21.4,338
"1149","Switzerland",1936,2,0,2,4,31.4,736
"1150","Poland",625,15,7,0,3,18.2,325
"1151","Germany",830,8,0,0,3,18,60
"1152","Germany",761,26,12,4,3,19,156
"1153","Germany",1000,5,5,5,5,25,175
"1154","Switzerland",2332,1,0,0,2,34.6,488
"1155","Austria",650,4,0,0,2,23.5,75
"1156","Germany",1060,25,4,5,3,26,130
"1157","France",1247,5,3,5,6,18.5,147
"1158","France",1702,29,35,6,5,13,302
"1159","Austria",1320,3,7,0,2,14,170
"1160","Switzerland",1606,45,3,5,2,32,307
"1161","Slovenia",1182,2,13,0,2,15,316
"1162","Switzerland",1656,5,0,0,5,32,644
"1163","Italy",1360,3,1,0,2,37,340
"1164","Germany",843,55,4,0,4,17,248
"1165","Germany",1033,35,0,0,1,18,419
"1166","Germany",1320,55,4,0,4,19.5,341
"1167","France",1471,65,25,0,11,19.5,211
"1168","Sweden",800,3,4,5,3,26,270
"1169","Poland",850,2,9,0,2,21,250
"1170","Poland",671,8,11,0,2,21.4,196
"1171","Poland",690,21,4,0,2,21,145
"1172","Czech Republic",1087,11,11,0,2,20,197
"1173","Sweden",320,47,3,7,5,30,220
"1174","Switzerland",1500,5,5,0,2,29,350
"1175","Hungary",822,2,17,6,8,23,148
"1176","France",2280,5,3,0,7,10,658
"1177","Slovakia",1081,42,13,0,10,21,114
"1178","Germany",96,2,2,2,2,39.95,56
"1179","Italy",1600,5,2,0,2,15,200
"1180","Germany",840,1,3,0,2,20,120
"1181","North Macedonia",1400,3,4,6,3,22,160
"1182","Poland",812,15,0,8,2,15,222
"1183","Poland",761,1,2,0,2,19,311
"1184","Switzerland",1793,25,5,0,3,29,130
"1185","Poland",1045,3,1,0,4,19,332
"1186","Italy",1650,15,1,0,2,18,270
"1187","Northwest Russia",886,22,2,18,4,13,504
"1188","Poland",900,14,8,0,3,21,130
"1189","Norway",780,2,2,1,4,34,560
"1190","Sweden",900,0,0,2,1,29.8,500
"1191","Northwest Russia",170,25,2,0,4,16.8,120
"1192","Greece",1370,5,15,0,3,13.4,200
"1193","Romania",1671,55,1,5,5,18.2,330
"1194","Austria",1400,2,2,1,4,19,500
"1195","Slovakia",1450,34,6,0,3,49,450
"1196","Czech Republic",960,17,7,0,3,18,200
"1197","Czech Republic",565,6,6,0,2,16,95
"1198","Sweden",294,17,5,0,3,19,255
"1199","Slovenia",634,1,3,0,3,17,131
"1200","Slovakia",950,8,25,0,5,21,240
"1201","Czech Republic",706,0,17,8,3,16,189
"1202","Serbia",920,3,14,0,3,17.6,330
